Category,Item,cost,date
groceries,groceries,$120 ,8/3/24
lifting,straps,$15 ,8/3/24
lifting,osprey bag,$190 ,8/3/24
lifting,chalk,$10 ,8/3/24
,,,
,,,
,,,
, ,,
