2024-08-28,Calories 🥙,Carbs 🍞,Protein 🥩,Fat 🧈,Time Reading 📖,Deepwork Time 📝,Active Time 🏋️,Meditation 🧘
Goal,2480,146,176,134,2,6,15,30
Range,"(0, 4000)","(0, 300)","(0, 200)","(0, 200)","(0, 3)","(0, 8)","(0, 60)","(0, 60)"
2024-09-02,Calories 🥙,Carbs 🍞,Protein 🥩,Fat 🧈,Time Reading 📖,Deepwork Time 📝,Active Time 🏋️,Meditation 🧘
Goal,1980,12,168,140,2,6,60,20
Range,"(0, 3000)","(0, 50)","(0, 200)","(0, 200)","(0, 3)","(0, 8)","(0, 120)","(0, 60)"

